{'epoch': 55, 'train_loss': 0.32372, 'eval_loss': 0.26027, 'scores': {'median_PSNR': 28.54604, 'median_SSIM': 0.3968}, 'train_time': 0.66996, 'eval_time': 0.27635}
{'epoch': 56, 'train_loss': 0.33673, 'eval_loss': 0.25748, 'scores': {'median_PSNR': 28.61693, 'median_SSIM': 0.39088}, 'train_time': 0.69577, 'eval_time': 0.30092}
{'epoch': 57, 'train_loss': 0.32906, 'eval_loss': 0.25681, 'scores': {'median_PSNR': 28.47568, 'median_SSIM': 0.39921}, 'train_time': 0.7208, 'eval_time': 0.24541}
{'epoch': 58, 'train_loss': 0.33377, 'eval_loss': 0.25793, 'scores': {'median_PSNR': 28.39554, 'median_SSIM': 0.40272}, 'train_time': 0.7221, 'eval_time': 0.24634}
{'epoch': 59, 'train_loss': 0.3327, 'eval_loss': 0.2518, 'scores': {'median_PSNR': 28.68144, 'median_SSIM': 0.39777}, 'train_time': 0.66538, 'eval_time': 0.27772}
{'epoch': 60, 'train_loss': 0.32787, 'eval_loss': 0.25724, 'scores': {'median_PSNR': 28.64637, 'median_SSIM': 0.40407}, 'train_time': 0.68638, 'eval_time': 0.26328}
{'epoch': 61, 'train_loss': 0.33243, 'eval_loss': 0.25837, 'scores': {'median_PSNR': 28.54394, 'median_SSIM': 0.41496}, 'train_time': 0.72303, 'eval_time': 0.24505}
{'epoch': 62, 'train_loss': 0.3255, 'eval_loss': 0.25489, 'scores': {'median_PSNR': 28.66839, 'median_SSIM': 0.40249}, 'train_time': 0.66842, 'eval_time': 0.27122}
{'epoch': 63, 'train_loss': 0.31942, 'eval_loss': 0.2527, 'scores': {'median_PSNR': 28.70342, 'median_SSIM': 0.41039}, 'train_time': 0.67081, 'eval_time': 0.25316}
{'epoch': 64, 'train_loss': 0.32876, 'eval_loss': 0.24958, 'scores': {'median_PSNR': 28.66442, 'median_SSIM': 0.40945}, 'train_time': 0.70509, 'eval_time': 0.27479}
{'epoch': 65, 'train_loss': 0.31709, 'eval_loss': 0.25201, 'scores': {'median_PSNR': 28.63528, 'median_SSIM': 0.41163}, 'train_time': 0.71429, 'eval_time': 0.26528}
{'epoch': 66, 'train_loss': 0.32758, 'eval_loss': 0.25046, 'scores': {'median_PSNR': 28.72701, 'median_SSIM': 0.41135}, 'train_time': 0.72024, 'eval_time': 0.26364}
{'epoch': 67, 'train_loss': 0.32051, 'eval_loss': 0.24633, 'scores': {'median_PSNR': 28.7182, 'median_SSIM': 0.40951}, 'train_time': 0.74926, 'eval_time': 0.2861}
{'epoch': 68, 'train_loss': 0.3202, 'eval_loss': 0.24566, 'scores': {'median_PSNR': 28.65106, 'median_SSIM': 0.41095}, 'train_time': 0.75194, 'eval_time': 0.24049}
{'epoch': 69, 'train_loss': 0.31579, 'eval_loss': 0.24674, 'scores': {'median_PSNR': 28.60794, 'median_SSIM': 0.4144}, 'train_time': 0.70197, 'eval_time': 0.29665}
{'epoch': 70, 'train_loss': 0.32017, 'eval_loss': 0.24495, 'scores': {'median_PSNR': 28.61072, 'median_SSIM': 0.41208}, 'train_time': 0.70956, 'eval_time': 0.24142}
{'epoch': 71, 'train_loss': 0.32036, 'eval_loss': 0.24184, 'scores': {'median_PSNR': 28.73861, 'median_SSIM': 0.4094}, 'train_time': 0.70853, 'eval_time': 0.24642}
{'epoch': 72, 'train_loss': 0.31367, 'eval_loss': 0.24428, 'scores': {'median_PSNR': 28.59937, 'median_SSIM': 0.41878}, 'train_time': 0.71596, 'eval_time': 0.25404}
{'epoch': 73, 'train_loss': 0.30639, 'eval_loss': 0.24309, 'scores': {'median_PSNR': 28.66402, 'median_SSIM': 0.4187}, 'train_time': 0.72171, 'eval_time': 0.26207}
{'epoch': 74, 'train_loss': 0.31097, 'eval_loss': 0.24347, 'scores': {'median_PSNR': 28.61933, 'median_SSIM': 0.42049}, 'train_time': 0.70463, 'eval_time': 0.25085}
{'epoch': 75, 'train_loss': 0.31369, 'eval_loss': 0.24132, 'scores': {'median_PSNR': 28.72115, 'median_SSIM': 0.41965}, 'train_time': 0.69334, 'eval_time': 0.34638}
{'epoch': 76, 'train_loss': 0.3013, 'eval_loss': 0.24212, 'scores': {'median_PSNR': 28.66603, 'median_SSIM': 0.42868}, 'train_time': 0.67892, 'eval_time': 0.47458}
{'epoch': 77, 'train_loss': 0.31215, 'eval_loss': 0.24034, 'scores': {'median_PSNR': 28.8241, 'median_SSIM': 0.42002}, 'train_time': 0.68339, 'eval_time': 0.27645}
{'epoch': 78, 'train_loss': 0.31259, 'eval_loss': 0.23918, 'scores': {'median_PSNR': 28.77003, 'median_SSIM': 0.42697}, 'train_time': 0.72451, 'eval_time': 0.25713}
{'epoch': 79, 'train_loss': 0.31335, 'eval_loss': 0.23847, 'scores': {'median_PSNR': 28.69537, 'median_SSIM': 0.42507}, 'train_time': 0.7312, 'eval_time': 0.28952}
{'epoch': 80, 'train_loss': 0.3069, 'eval_loss': 0.24222, 'scores': {'median_PSNR': 28.69193, 'median_SSIM': 0.42882}, 'train_time': 0.68316, 'eval_time': 0.24401}
{'epoch': 81, 'train_loss': 0.30817, 'eval_loss': 0.23823, 'scores': {'median_PSNR': 28.75281, 'median_SSIM': 0.4279}, 'train_time': 0.71956, 'eval_time': 0.28022}
{'epoch': 82, 'train_loss': 0.30467, 'eval_loss': 0.2393, 'scores': {'median_PSNR': 28.73497, 'median_SSIM': 0.42722}, 'train_time': 0.72711, 'eval_time': 0.27385}
{'epoch': 83, 'train_loss': 0.30344, 'eval_loss': 0.2396, 'scores': {'median_PSNR': 28.76094, 'median_SSIM': 0.42947}, 'train_time': 0.685, 'eval_time': 0.28102}
{'epoch': 84, 'train_loss': 0.30383, 'eval_loss': 0.23749, 'scores': {'median_PSNR': 28.74016, 'median_SSIM': 0.43325}, 'train_time': 0.69715, 'eval_time': 0.2851}
{'epoch': 85, 'train_loss': 0.2982, 'eval_loss': 0.23805, 'scores': {'median_PSNR': 28.70163, 'median_SSIM': 0.43166}, 'train_time': 0.73688, 'eval_time': 0.27616}
{'epoch': 86, 'train_loss': 0.314, 'eval_loss': 0.23782, 'scores': {'median_PSNR': 28.71562, 'median_SSIM': 0.43488}, 'train_time': 0.68993, 'eval_time': 0.25809}
{'epoch': 87, 'train_loss': 0.30383, 'eval_loss': 0.23654, 'scores': {'median_PSNR': 28.75478, 'median_SSIM': 0.42394}, 'train_time': 0.70472, 'eval_time': 0.30803}
{'epoch': 88, 'train_loss': 0.30887, 'eval_loss': 0.23659, 'scores': {'median_PSNR': 28.75993, 'median_SSIM': 0.43159}, 'train_time': 0.68123, 'eval_time': 0.23985}
{'epoch': 89, 'train_loss': 0.30517, 'eval_loss': 0.23501, 'scores': {'median_PSNR': 28.78969, 'median_SSIM': 0.43339}, 'train_time': 0.6935, 'eval_time': 0.2997}
{'epoch': 90, 'train_loss': 0.30293, 'eval_loss': 0.23691, 'scores': {'median_PSNR': 28.71481, 'median_SSIM': 0.43577}, 'train_time': 0.71886, 'eval_time': 0.28024}
{'epoch': 91, 'train_loss': 0.30054, 'eval_loss': 0.23682, 'scores': {'median_PSNR': 28.73525, 'median_SSIM': 0.42464}, 'train_time': 0.69905, 'eval_time': 0.26732}
{'epoch': 92, 'train_loss': 0.30694, 'eval_loss': 0.23566, 'scores': {'median_PSNR': 28.77183, 'median_SSIM': 0.42986}, 'train_time': 0.71507, 'eval_time': 0.36656}
{'epoch': 93, 'train_loss': 0.29876, 'eval_loss': 0.24371, 'scores': {'median_PSNR': 28.53092, 'median_SSIM': 0.42779}, 'train_time': 0.72053, 'eval_time': 0.24672}
{'epoch': 94, 'train_loss': 0.30204, 'eval_loss': 0.23771, 'scores': {'median_PSNR': 28.74561, 'median_SSIM': 0.4274}, 'train_time': 0.68743, 'eval_time': 0.25017}
{'epoch': 95, 'train_loss': 0.30038, 'eval_loss': 0.23434, 'scores': {'median_PSNR': 28.75799, 'median_SSIM': 0.43812}, 'train_time': 0.69794, 'eval_time': 0.28509}
{'epoch': 96, 'train_loss': 0.29888, 'eval_loss': 0.23628, 'scores': {'median_PSNR': 28.66532, 'median_SSIM': 0.43106}, 'train_time': 0.75449, 'eval_time': 0.26963}
{'epoch': 97, 'train_loss': 0.29681, 'eval_loss': 0.23587, 'scores': {'median_PSNR': 28.74389, 'median_SSIM': 0.42384}, 'train_time': 0.7309, 'eval_time': 0.26053}
{'epoch': 98, 'train_loss': 0.29841, 'eval_loss': 0.23286, 'scores': {'median_PSNR': 28.86498, 'median_SSIM': 0.42331}, 'train_time': 0.7098, 'eval_time': 0.27257}
{'epoch': 99, 'train_loss': 0.29901, 'eval_loss': 0.23401, 'scores': {'median_PSNR': 28.68169, 'median_SSIM': 0.42761}, 'train_time': 0.67626, 'eval_time': 0.23653}
{'epoch': 100, 'train_loss': 0.30396, 'eval_loss': 0.23591, 'scores': {'median_PSNR': 28.70954, 'median_SSIM': 0.42971}, 'train_time': 0.68072, 'eval_time': 0.26073}
{'epoch': 101, 'train_loss': 0.29909, 'eval_loss': 0.23296, 'scores': {'median_PSNR': 28.76607, 'median_SSIM': 0.42809}, 'train_time': 0.68928, 'eval_time': 0.23352}
{'epoch': 102, 'train_loss': 0.2909, 'eval_loss': 0.23917, 'scores': {'median_PSNR': 28.70083, 'median_SSIM': 0.42255}, 'train_time': 0.68881, 'eval_time': 0.26211}
{'epoch': 103, 'train_loss': 0.29333, 'eval_loss': 0.23143, 'scores': {'median_PSNR': 28.77921, 'median_SSIM': 0.42695}, 'train_time': 0.73802, 'eval_time': 0.25882}
{'epoch': 104, 'train_loss': 0.29684, 'eval_loss': 0.2363, 'scores': {'median_PSNR': 28.56827, 'median_SSIM': 0.43221}, 'train_time': 0.66321, 'eval_time': 0.26597}
{'epoch': 105, 'train_loss': 0.30089, 'eval_loss': 0.23238, 'scores': {'median_PSNR': 28.69377, 'median_SSIM': 0.43279}, 'train_time': 0.68463, 'eval_time': 0.26036}
{'epoch': 106, 'train_loss': 0.30305, 'eval_loss': 0.23616, 'scores': {'median_PSNR': 28.531, 'median_SSIM': 0.43256}, 'train_time': 0.63603, 'eval_time': 0.26398}
{'epoch': 107, 'train_loss': 0.29433, 'eval_loss': 0.23284, 'scores': {'median_PSNR': 28.74187, 'median_SSIM': 0.43381}, 'train_time': 0.66899, 'eval_time': 0.24226}
{'epoch': 108, 'train_loss': 0.30607, 'eval_loss': 0.2325, 'scores': {'median_PSNR': 28.67827, 'median_SSIM': 0.43064}, 'train_time': 0.73303, 'eval_time': 0.28199}
{'epoch': 109, 'train_loss': 0.30651, 'eval_loss': 0.22936, 'scores': {'median_PSNR': 28.77001, 'median_SSIM': 0.43662}, 'train_time': 0.71832, 'eval_time': 0.23582}
{'epoch': 110, 'train_loss': 0.29632, 'eval_loss': 0.23025, 'scores': {'median_PSNR': 28.80622, 'median_SSIM': 0.43471}, 'train_time': 0.74357, 'eval_time': 0.23348}
{'epoch': 111, 'train_loss': 0.2939, 'eval_loss': 0.23018, 'scores': {'median_PSNR': 28.79442, 'median_SSIM': 0.43156}, 'train_time': 0.68708, 'eval_time': 0.27082}
